datetime,ip_address,NIK,applicant_name,age,gender,marital_status,number_of_dependents,occupation,job_position,job_specific_code,job_specific,education_level,user_income,collateral_value_of_on_site_assets,average_loans_taken_in_the_same_location,last_credit_history,other_credit_history1,other_credit_history2,other_credit_history3,worst_credit_performance,hardware,operating_system_type,browser,home_address,domicile_address,road_type,building_type,building_owner,building_location,gmaps_coordinates,gmaps_location_name,gmpas_location_description,gmaps_category,gmaps_address,gmaps_neighborhood,gmaps_street,gmaps_city,gmaps_postal_code,gmaps_state,total_population,average_income_of_the_population_in_the_area,education_of_the_population_in_the_area,unemployment_rate_in_the_area,crime_rate_in_the_area,poverty_rate_in_the_area,length_of_stay_at_domicile_address,address_stability,domicile_address_and_location_suitability,credit_score,credit_score_category
2023-03-27 10:31:07.802738,172.18.8.127,1209225402610001,Maras Utama,62,P,Duda,2,Private employee,Staff,14200,Industri Pakaian Jadi Dan Barang Dari Kulit Berbulu,S2,Rp 15.000.000 - Rp 20.000.000,690000000,3 - 5 Pinjaman,2,4,1,4,2,Tablet,Chrome OS,Firefox,"Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018","Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018",Jalan Sedang,Kost-kostan,Pemerintah,Kawasan pegunungan,"-7.2574719, 112.7520883",Mess ,Ipsa quibusdam officia voluptates.,Residential neighbourhood,"Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018",,,Surabaya,,East Java,0,4,1,0,2,0,120,3,2,100,Excellent
2023-03-27 10:31:08.487912,10.222.134.251,1771045004720003,"Darmaji Rahimah, M.Kom.",51,P,Cerai Mati,3,Transportation,Staff,33159,"Reparasi Alat Angkutan Lainnya, Bukan Kendaraan Bermotor",D4,Rp 10.000.000 - Rp 15.000.000,893000000,0 - 2 Pinjaman,0,1,2,0,4,PC,Windows,Opera,"Gang Sukajadi No. 154
Depok, NT 14675","Gang Sukajadi No. 154
Depok, NT 14675",Jalan Kecil,Villa,Perorangan Orang Lain,Pinggiran kota,"-1.6, 103.61667",Rumah Susun Jalan Haji Abdulrahman Saleh,Error laboriosam nam quidem.,Residential neighbourhood,"Jalan Haji Abdulrahman Saleh, Sungai Asam, Jambi, Danau Sipin, Jambi, 36134, Indonesia",,Jalan Haji Abdulrahman Saleh,Jambi,36134,Jambi,2,2,2,2,0,0,82,2,0,100,Excellent
2023-03-27 10:31:10.865518,192.168.31.174,5303034404620001,Praba Santoso,61,P,Duda,5,Consultant,Manager,2305,Pemungutan Kokon/kepompong Ulat Sutera,SMA/SMK,< Rp 5.000.000,384000000,3 - 5 Pinjaman,2,2,4,1,4,PC,macOS,Opera,"Gang Ahmad Dahlan No. 338
Batam, DKI Jakarta 69812","Gang Moch. Toha No. 2
Metro, Maluku 03558",Jalan Sedang,Perum,Perorangan Orang Lain,Kawasan pegunungan,"-7.0981, 109.3243",Mess Jembatan Comal,Ad repudiandae illo ea occaecati commodi aliquid dolorem.,Gated community,"SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",,Jembatan Comal,,,Jawa Tengah,1,3,2,2,2,2,68,2,0,90,Excellent
2023-03-27 10:31:12.289469,192.168.255.148,1111176102980002,"dr. Gamani Ardianto, S.H.",25,P,Belum Kawin,1,Tailor,Supervisor,32902,Industri Pita Mesin Tulis/gambar,S2,Rp 5.000.000 - Rp 10.000.000,849000000,6 - 8 Pinjaman,0,1,3,3,1,Tablet,Android,Chrome,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871","Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",Jalan Besar,Rumah Susun,Pemerintah,Kawasan perumahan padat penduduk,"1.1300779, 104.0529207",Apartemen ,Rerum tempora perspiciatis vero.,Duplex,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",,,Batam,,Riau Islands,3,0,0,3,3,3,7,0,2,60,Good
2023-03-27 10:31:12.967815,192.168.84.88,8204222909540001,H. Bakijan Sihotang,69,L,Duda,1,Consultant,Staff,30911,Industri Sepeda Motor Roda Dua Dan Tiga,SMA/SMK,Rp 5.000.000 - Rp 10.000.000,103000000,0 - 2 Pinjaman,4,4,2,3,1,Smartphone,Windows,Safari,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620","Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",Jalan Sedang,Perum,Perusahaan,Pusat kota,"-5.3971396, 105.2667887",Villa ,Nobis sed sunt doloremque sint ullam illo.,Townhouse,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",,,Bandar Lampung,,Lampung,0,4,1,1,1,1,102,3,2,100,Excellent
2023-03-27 10:31:13.739396,10.63.212.239,9105030801570002,Syahrini Uwais,66,L,Cerai Hidup,5,Member of the Regional Representative Council,Supervisor,1714,Perburuan Dan Penangkapan Burung,S1,Rp 10.000.000 - Rp 15.000.000,883000000,3 - 5 Pinjaman,1,4,0,4,4,Tablet,iOS,Onsite,"Jalan Suniaraja No. 83
Kota Administrasi Jakarta Selatan, Kalimantan Barat 32867","Jalan K.H. Wahid Hasyim No. 9
Singkawang, Sulawesi Tengah 08626",Jalan Kecil,Mess,Perusahaan,Kawasan pertanian,"-0.2787808, 111.4752851",Kost-kostan ,Accusantium similique ut eius occaecati.,Retirement home,"Jalan Suniaraja No. 83
Kota Administrasi Jakarta Selatan, Kalimantan Barat 32867",,,,,West Kalimantan,2,1,1,3,2,1,46,1,0,70,Very Good
2023-03-27 10:31:14.283771,10.252.25.95,1408016907650004,"Mursinin Uwais, S.E.I",58,P,Belum Kawin,5,Fashion designer,Manager,49221,Angkutan Bus Pariwisata,S3,< Rp 5.000.000,714000000,0 - 2 Pinjaman,3,1,0,2,4,Tablet,Android,Brave,"Gg. Cikutra Barat No. 4
Bengkulu, JI 07314","Gg. Cikutra Barat No. 4
Bengkulu, JI 07314",Jalan Kecil,Rumah Susun,Perusahaan,Kawasan industri,"-3.792845099999999, 102.2607641",Perum ,Laborum provident reiciendis delectus consequatur minima saepe blanditiis.,Gated community,"Gg. Cikutra Barat No. 4
Bengkulu, JI 07314",,,Bengkulu,,Bengkulu,3,1,1,3,2,1,50,1,2,90,Excellent
2023-03-27 10:31:14.760884,172.21.31.247,1702233003680002,"Julia Permata, M.M.",55,L,Janda,4,Dentist,Staff,72206,Penelitian Dan Pengembangan Sejarah,D4,> Rp 20.000.000,806000000,> 8 Pinjaman,3,0,3,1,1,Laptop,Android,Brave,"Jalan Tubagus Ismail No. 88
Bukittinggi, SN 06333","Gg. Kutai No. 14
Salatiga, Lampung 90419",Jalan Sedang,Apartemen,Perusahaan,Kawasan pegunungan,"-7.330523400000001, 110.5084366",Mess ,Voluptate mollitia iusto inventore autem quia ipsum.,Dormitory,"Gg. Kutai No. 14
Salatiga, Lampung 90419",,,Salatiga,,Central Java,4,0,1,4,4,2,17,0,2,60,Good
2023-03-27 10:31:15.208461,172.21.130.184,7408032806870001,Usyi Hutasoit,36,L,Cerai Hidup,0,Artist,Manager,55111,Hotel Bintang Lima,D4,< Rp 5.000.000,637000000,3 - 5 Pinjaman,3,0,0,2,1,PC,Android,Safari,"Jl. Pasteur No. 7
Banda Aceh, KU 61412","Jl. Pasteur No. 7
Banda Aceh, KU 61412",Jalan Besar,Rumah,Perusahaan,Pinggiran kota,"3.31332, 117.59152",Rumah Susun ,Laborum at ut in.,Dormitory,"Karang Balik, Tarakan, Kalimantan Utara, 77112, Indonesia",,,Tarakan,77112,Kalimantan Utara,0,4,1,1,2,1,98,3,0,100,Excellent
2023-03-27 10:31:18.310790,10.62.168.80,6402104601930005,Eman Rahimah,30,P,Janda,1,Pilot,Manager,46422,Perdagangan Besar Barang Percetakan Dan Penerbitan Dalam Berbagai Bentuk,SMA/SMK,Rp 10.000.000 - Rp 15.000.000,704000000,6 - 8 Pinjaman,0,4,3,2,0,Laptop,iOS,Safari,"Jalan Medokan Ayu No. 299
Serang, Jawa Barat 41716","Gg. Cihampelas No. 7
Dumai, SN 97743",Jalan Kecil,Apartemen,Perorangan Pribadi,Kawasan industri,"-6.9249285, 107.479615",Perum ,Repellendus delectus placeat corrupti.,Retirement home,"Gg. Cihampelas No. 7
Dumai, SN 97743",,,Cihampelas,,West Java,3,1,0,2,2,1,60,1,2,90,Excellent
