datetime,nik,applicant_name,age,gender,marital_status,occupation,job_position,job_specific,job_specific_code,education_level,home_lat,home_lon,home_coordinate,home_address,home_road_type,home_building_type,home_building_owner,home_building_location,domicile_lat,domicile_lon,domicile_coordinate,domicile_address,domicile_road_type,domicile_building_type,domicile_building_owner,domicile_building_location,company_lat,company_lon,company_coordinate,company_address,company_road_type,company_building_type,company_building_owner,company_building_location,now_lat,now_lon,now_coordinate,last_1_week_lat,last_1_week_lon,last_1_week_coordinate,last_2_week_lat,last_2_week_lon,last_2_week_coordinate,last_3_week_lat,last_3_week_lon,last_3_week_coordinate,last_4_week_lat,last_4_week_lon,last_4_week_coordinate,now_distance,last_1_week_distance,last_2_week_distance,last_3_week_distance,last_4_week_distance,average_distance,length_of_stay,total_population,income_rate,unemployment_rate,education_rate,crime_rate,poverty_rate,address_stability,address_suitability,credit_score,credit_score_category
2023-04-13 14:13:26.843249,1209225402610001,Amelia Wasita,62,P,Cerai Hidup,Private employee,Staff,Industri Pakaian Jadi Dan Barang Dari Kulit Berbulu,14200,S2,-1.26424,104.09701,"-1.26424, 104.09701","Kelurahan Simpang, Tanjung Jabung Timur, Jambi, Indonesia",Jalan Kecil,Rumah Susun,Pemerintah,Kawasan Wisata,-6.8048,110.8405,"-6.8048, 110.8405","Demaan, Kudus, Jawa Tengah, 59318, Indonesia",Jalan Sedang,Asrama,Pemerintah,Kawasan Komersial,3.31332,117.59152,"3.31332, 117.59152","Karang Balik, Tarakan, Kalimantan Utara, 77112, Indonesia",Jalan Sedang,Rumah,Perorangan Pribadi,Kawasan Pertanian,3.7278,98.6738,"3.7278, 98.6738",3.7278,98.6738,"3.7278, 98.6738",-6.8048,110.8405,"-6.8048, 110.8405",-1.26424,104.09701,"-1.26424, 104.09701",-7.54972,110.71639,"-7.54972, 110.71639",1784483.1834727533,1784483.1834727533,0.0,967307.2834444531,83514.63968003677,923957.6580139992,3 - 4 Tahun,Sangat Tinggi,Rendah,Tinggi,Tinggi,Rendah,Sangat Tinggi,Tidak stabil,Tidak Sesuai,29.749999999999996,Poor
2023-04-13 14:14:13.221585,3401034402990006,Jinawi Siregar,24,P,Cerai Hidup,Fashion stylist,Supervisor,"Industri Pengawetan Rotan, Bambu Dan Sejenisnya",16103,D4,0.51667,101.44167,"0.51667, 101.44167","Jalan Durian, RT. 01, Kelurahan Jadirejo, Kabupaten Kampar, Riau, 28121, Indonesia",Jalan Kecil,Rumah,Pemerintah,Kawasan Wisata,0.51667,101.44167,"0.51667, 101.44167","Jalan Durian, RT. 01, Kelurahan Jadirejo, Kabupaten Kampar, Riau, 28121, Indonesia",Jalan Kecil,Rumah,Pemerintah,Kawasan Wisata,-7.81667,112.01667,"-7.81667, 112.01667","Kota, Kediri, Jawa Timur, Jawa, 64123, Indonesia",Jalan Besar,Apartemen,Lainnya,Kawasan Industri,0.51667,101.44167,"0.51667, 101.44167",0.51667,101.44167,"0.51667, 101.44167",-1.6,103.61667,"-1.6, 103.61667",0.51667,101.44167,"0.51667, 101.44167",0.51667,101.44167,"0.51667, 101.44167",0.0,0.0,336733.5585898391,0.0,0.0,67346.71171796782,3 - 4 Tahun,Sangat Rendah,Sangat Rendah,Sedang,Sedang,Sangat Rendah,Rendah,Stabil,Sangat Sesuai,77.25,Very Good
2023-04-13 14:14:20.549845,1709090711950000,Ella Hartati,28,L,Cerai Hidup,Farmer/gardener,Staff,Aktivitas Keamanan Swasta,80100,S2,3.31332,117.59152,"3.31332, 117.59152","Karang Balik, Tarakan, Kalimantan Utara, 77112, Indonesia",Jalan Besar,Rumah Susun,Lainnya,Kawasan Pertanian,-1.26753,116.82887,"-1.26753, 116.82887","Telaga Sari, Balikpapan, Kalimantan Timur, 76112, Indonesia",Jalan Kecil,Rumah Susun,Perorangan Pribadi,Kawasan Perumahan,-6.91806,106.92667,"-6.91806, 106.92667","Cikole, Sukabumi, Jawa Barat, 43111, Indonesia",Jalan Sedang,Apartemen,Perorangan Orang Lain,Kawasan Pertanian,-7.57897,112.23109,"-7.57897, 112.23109",0.51667,101.44167,"0.51667, 101.44167",-7.57897,112.23109,"-7.57897, 112.23109",-7.57897,112.23109,"-7.57897, 112.23109",-7.57897,112.23109,"-7.57897, 112.23109",864439.5619496573,1724114.4399961478,864439.5619496573,864439.5619496573,864439.5619496573,1036374.5375589554,3 - 4 Tahun,Sangat Rendah,Rendah,Tinggi,Sedang,Sangat Tinggi,Sedang,Stabil,Tidak Sesuai,36.75,Fair
2023-04-13 14:14:26.917050,1111176102980009,"Zulaikha Yuliarti, S.T.",25,P,Belum Kawin,Shoe repairman,Supervisor,Industri Pencetakan Umum,18111,D4,-7.0981,109.3243,"-7.0981, 109.3243","SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",Jalan Besar,Rumah,Lainnya,Kawasan Wisata,-7.0981,109.3243,"-7.0981, 109.3243","SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",Jalan Besar,Rumah,Lainnya,Kawasan Wisata,-1.26753,116.82887,"-1.26753, 116.82887","Telaga Sari, Balikpapan, Kalimantan Timur, 76112, Indonesia",Jalan Kecil,Perumahan,Perorangan Orang Lain,Kawasan Pertanian,-3.5403,118.9707,"-3.5403, 118.9707",-7.0981,109.3243,"-7.0981, 109.3243",-7.0981,109.3243,"-7.0981, 109.3243",-7.0981,109.3243,"-7.0981, 109.3243",-7.0981,109.3243,"-7.0981, 109.3243",1139151.3673714548,0.0,0.0,0.0,0.0,227830.27347429097,< 1 Tahun,Sangat Rendah,Sedang,Sedang,Sedang,Sangat Rendah,Sedang,Stabil,Tidak Sesuai,42.0,Fair
2023-04-13 14:14:33.331209,1271217003860009,Syahrini Prasetya,37,P,Kawin,Architect,Staff,"Aktivitas Profesional, Ilmiah Dan Teknis Lainnya Ytdl",74909,D3,-6.48167,106.85417,"-6.48167, 106.85417","Cibinong, Bogor, Jawa Barat, 16911, Indonesia",Jalan Besar,Rumah,Pemerintah,Kawasan Industri,-7.0981,109.3243,"-7.0981, 109.3243","SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",Jalan Sedang,Rumah,Perusahaan,Kawasan Industri,-8.43333,114.33333,"-8.43333, 114.33333","Kedungrejo, Banyuwangi, Jawa Timur, Indonesia",Jalan Kecil,Apartemen,Lainnya,Kawasan Perumahan,0.51667,101.44167,"0.51667, 101.44167",0.51667,101.44167,"0.51667, 101.44167",0.51667,101.44167,"0.51667, 101.44167",-7.0981,109.3243,"-7.0981, 109.3243",0.51667,101.44167,"0.51667, 101.44167",1214643.489578693,1214643.489578693,1214643.489578693,0.0,1214643.489578693,971714.7916629544,> 5 Tahun,Rendah,Sangat Rendah,Tinggi,Tinggi,Rendah,Tinggi,Stabil,Tidak Sesuai,36.75,Fair
2023-04-13 14:14:38.360670,3316092106610001,"Tgk. Irwan Wibisono, S.IP",62,L,Belum Kawin,Vice President,Direktur,"Industri Makanan Dari Kedele Dan Kacang-kacangan Lainnya Bukan Kecap, Tempe Dan Tahu",10793,S1,-3.5403,118.9707,"-3.5403, 118.9707","Labuang, Majene, Sulawesi Barat, 91412, Indonesia",Jalan Sedang,Perumahan,Lainnya,Kawasan Perumahan,-7.01833,107.60389,"-7.01833, 107.60389","Rancamulya, Bandung, Jawa Barat, 40288, Indonesia",Jalan Sedang,Perumahan,Perorangan Orang Lain,Kawasan Pertanian,-7.0981,109.3243,"-7.0981, 109.3243","SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",Jalan Sedang,Rumah Susun,Perorangan Pribadi,Kawasan Industri,-7.01833,107.60389,"-7.01833, 107.60389",-7.0981,109.3243,"-7.0981, 109.3243",-7.01833,107.60389,"-7.01833, 107.60389",-7.01833,107.60389,"-7.01833, 107.60389",-6.8048,110.8405,"-6.8048, 110.8405",0.0,190277.9238384314,0.0,0.0,358474.5922456358,109750.50321681343,< 1 Tahun,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Rendah,Sangat Rendah,Sangat Tinggi,Tidak stabil,Sangat Sesuai,59.75,Good
2023-04-13 14:14:45.238204,1109072105670004,Mahfud Haryanto,56,L,Belum Kawin,Farmer/gardener,Direktur,Administrasi Pelayanan Pemerintah Bidang Kesejahteraan Sosial,84124,S3,-7.81667,112.01667,"-7.81667, 112.01667","Kota, Kediri, Jawa Timur, Jawa, 64123, Indonesia",Jalan Sedang,Perumahan,Pemerintah,Kawasan Pertanian,-7.81667,112.01667,"-7.81667, 112.01667","Kota, Kediri, Jawa Timur, Jawa, 64123, Indonesia",Jalan Sedang,Perumahan,Pemerintah,Kawasan Pertanian,-7.57897,112.23109,"-7.57897, 112.23109","Balongbesuk, Jombang, Jawa Timur, Jawa, 61471, Indonesia",Jalan Kecil,Perumahan,Lainnya,Kawasan Industri,-7.81667,112.01667,"-7.81667, 112.01667",-7.81667,112.01667,"-7.81667, 112.01667",-7.81667,112.01667,"-7.81667, 112.01667",-7.81667,112.01667,"-7.81667, 112.01667",-7.81667,112.01667,"-7.81667, 112.01667",0.0,0.0,0.0,0.0,0.0,0.0,< 1 Tahun,Tinggi,Rendah,Rendah,Sedang,Sangat Tinggi,Sangat Tinggi,Tidak stabil,Sangat Sesuai,65.0,Good
2023-04-13 14:14:49.544016,3212171710650001,"Hardi Wahyuni, S.Farm",58,L,Belum Kawin,Village officials,Manager,"Industri Furnitur Untuk Operasi, Perawatan Kedokteran Dan Kedokteran Gigi",32501,D4,-8.43333,114.33333,"-8.43333, 114.33333","Kedungrejo, Banyuwangi, Jawa Timur, Indonesia",Jalan Besar,Perumahan,Pemerintah,Kawasan Pertanian,-8.43333,114.33333,"-8.43333, 114.33333","Kedungrejo, Banyuwangi, Jawa Timur, Indonesia",Jalan Besar,Perumahan,Pemerintah,Kawasan Pertanian,-6.48167,106.85417,"-6.48167, 106.85417","Cibinong, Bogor, Jawa Barat, 16911, Indonesia",Jalan Kecil,Rumah Susun,Perorangan Pribadi,Kawasan Pertanian,-8.43333,114.33333,"-8.43333, 114.33333",-8.43333,114.33333,"-8.43333, 114.33333",-1.26753,116.82887,"-1.26753, 116.82887",-8.43333,114.33333,"-8.43333, 114.33333",-8.43333,114.33333,"-8.43333, 114.33333",0.0,0.0,839317.7842871848,0.0,0.0,167863.55685743695,3 - 4 Tahun,Rendah,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Rendah,Sangat Tinggi,Stabil,Sangat Sesuai,70.25,Very Good
2023-04-13 14:14:54.396602,1215081510890004,Perkasa Iswahyudi,34,L,Belum Kawin,Pastor,Manager,Pertambangan Batu Mulia,8991,D4,3.7278,98.6738,"3.7278, 98.6738","Labuhan Deli, Medan Marelan, Kota Medan, Sumatera Utara, 20253, Indonesia",Jalan Sedang,Apartemen,Perorangan Pribadi,Kawasan Pertanian,3.7278,98.6738,"3.7278, 98.6738","Labuhan Deli, Medan Marelan, Kota Medan, Sumatera Utara, 20253, Indonesia",Jalan Sedang,Rumah,Lainnya,Kawasan Wisata,-7.0981,109.3243,"-7.0981, 109.3243","SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",Jalan Kecil,Rumah Susun,Lainnya,Kawasan Komersial,-7.01833,107.60389,"-7.01833, 107.60389",-7.01833,107.60389,"-7.01833, 107.60389",-7.51611,109.05389,"-7.51611, 109.05389",-7.73379,113.69785,"-7.73379, 113.69785",-7.01833,107.60389,"-7.01833, 107.60389",1548082.2059665278,1548082.2059665278,1695690.6916387957,2095417.5715499974,1548082.2059665278,1687070.9762176753,< 1 Tahun,Sedang,Sangat Rendah,Sedang,Tinggi,Sangat Rendah,Rendah,Stabil,Tidak Sesuai,38.5,Fair
2023-04-13 14:14:57.496262,8208046208890006,Cut Lala Pudjiastuti,34,P,Kawin,Student,Supervisor,Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Listrik Dan Elektronik Bekas,47896,D4,-3.5403,118.9707,"-3.5403, 118.9707","Labuang, Majene, Sulawesi Barat, 91412, Indonesia",Jalan Sedang,Rumah,Pemerintah,Kawasan Industri,-7.73379,113.69785,"-7.73379, 113.69785","Besuki, Situbondo, Jawa Timur, Indonesia",Jalan Kecil,Perumahan,Pemerintah,Kawasan Wisata,3.31332,117.59152,"3.31332, 117.59152","Karang Balik, Tarakan, Kalimantan Utara, 77112, Indonesia",Jalan Kecil,Perumahan,Lainnya,Kawasan Pegunungan,-7.0981,109.3243,"-7.0981, 109.3243",-7.73379,113.69785,"-7.73379, 113.69785",-7.73379,113.69785,"-7.73379, 113.69785",-7.73379,113.69785,"-7.73379, 113.69785",-7.73379,113.69785,"-7.73379, 113.69785",487902.8683838137,0.0,0.0,0.0,0.0,97580.57367676274,3 - 4 Tahun,Sangat Tinggi,Sedang,Rendah,Sangat Tinggi,Tinggi,Tinggi,Tidak stabil,Tidak Sesuai,35.0,Fair
