datetime,ip_address,NIK,applicant_name,age,gender,marital_status,number_of_dependents,occupation,job_position,job_specific_code,job_specific,education_level,user_income,collateral_value_of_on_site_assets,average_loans_taken_in_the_same_location,last_credit_history,other_credit_history1,other_credit_history2,other_credit_history3,worst_credit_performance,hardware,operating_system_type,browser,home_address,domicile_address,road_type,building_type,building_owner,building_location,gmaps_coordinates,gmaps_location_name,gmpas_location_description,gmaps_category,gmaps_address,gmaps_neighborhood,gmaps_street,gmaps_city,gmaps_postal_code,gmaps_state,total_population,average_income_of_the_population_in_the_area,education_of_the_population_in_the_area,unemployment_rate_in_the_area,crime_rate_in_the_area,poverty_rate_in_the_area,length_of_stay_at_domicile_address,address_stability,domicile_address_and_location_suitability,credit_risk
2023-03-16 11:28:00.890796,172.18.8.127,1209225402610001,Maras Utama,62,P,Duda,2,Archivist,Staff,82301,"Penyelenggara Pertemuan, Perjalanan Insentif, Konferensi Dan Pameran",SMA/SMK,3,690000000,1,2,4,1,4,2,Laptop,5,3,"Gang Tubagus Ismail No. 3
Surabaya, Sulawesi Selatan 27018","Gang Tubagus Ismail No. 3
Surabaya, Sulawesi Selatan 27018",Jalan Besar,Rumah,Pemerintah,Kawasan perumahan elite,"-7.2574719, 112.7520883",Mess ,Ipsa quibusdam officia voluptates.,Duplex,"Gang Tubagus Ismail No. 3
Surabaya, Sulawesi Selatan 27018",,,Surabaya,,East Java,0,4,1,0,2,0,105,3,2,4
2023-03-16 11:28:01.197014,10.222.134.251,3213230806770003,"Darmaji Rahimah, M.Kom.",46,L,Cerai Mati,0,Housing manager/officer,Staff,33159,"Reparasi Alat Angkutan Lainnya, Bukan Kendaraan Bermotor",D4,2,893000000,0,0,1,2,0,4,Smartphone,0,6,"Gang Dr. Djunjunan No. 549
Depok, Nusa Tenggara Timur 14675","Gang Dr. Djunjunan No. 549
Depok, Nusa Tenggara Timur 14675",Jalan Kecil,Villa,Perorangan Orang Lain,Pinggiran kota,"-1.6, 103.61667",Rumah Susun Jalan Haji Abdulrahman Saleh,Error laboriosam nam quidem.,Residential neighbourhood,"Jalan Haji Abdulrahman Saleh, Sungai Asam, Jambi, Danau Sipin, Jambi, 36134, Indonesia",,Jalan Haji Abdulrahman Saleh,Jambi,36134,Jambi,2,2,2,2,0,0,82,2,0,4
2023-03-16 11:28:03.910286,192.168.31.174,3309105702620001,Praba Santoso,61,P,Kawin,5,Seismic interpreter,Manager,2305,Pemungutan Kokon/kepompong Ulat Sutera,SMA/SMK,0,384000000,1,2,2,4,1,4,PC,2,6,"Gang Ahmad Dahlan No. 338
Batam, DKI Jakarta 69812","Gang Moch. Toha No. 2
Metro, Maluku 03558",Jalan Sedang,Perum,Perorangan Orang Lain,Kawasan pegunungan,"-7.0981, 109.3243",Mess Jembatan Comal,Ad repudiandae illo ea occaecati commodi aliquid dolorem.,Gated community,"SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",,Jembatan Comal,,,Jawa Tengah,1,3,2,2,2,2,68,2,0,2
2023-03-16 11:28:05.480489,192.168.255.148,6503063102980002,"dr. Gamani Ardianto, S.H.",25,L,Belum Kawin,1,Technical brewer,Supervisor,18111,Industri Pencetakan Umum,D4,1,849000000,2,0,1,3,3,1,Smartphone,5,7,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871","Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",Jalan Besar,Rumah Susun,Pemerintah,Kawasan perumahan padat penduduk,"1.1300779, 104.0529207",Apartemen ,Rerum tempora perspiciatis vero.,Duplex,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",,,Batam,,Riau Islands,3,0,0,3,3,3,7,0,2,0
2023-03-16 11:28:05.890156,192.168.84.88,9117091911620001,H. Bakijan Sihotang,61,L,Janda,0,"Scientist, biomedical",Supervisor,51101,Angkutan Udara Berjadwal Dalam Negeri Umum Untuk Penumpang,S3,0,103000000,2,3,1,0,4,4,Laptop,5,6,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620","Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",Jalan Sedang,Perum,Lainnya,Pinggiran kota,"-5.3971396, 105.2667887",Kost-kostan ,Nobis sed sunt doloremque sint ullam illo.,Condominium complex,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",,,Bandar Lampung,,Lampung,4,1,0,4,4,3,8,0,2,0
2023-03-16 11:28:06.347895,10.63.212.239,3503014901650002,Syahrini Uwais,58,P,Belum Kawin,0,Armed forces operational officer,Manager,71203,Jasa Inspeksi Periodik,D4,3,240000000,0,0,2,1,1,4,PC,4,7,"Gg. Siliwangi No. 3
Kota Administrasi Jakarta Selatan, KB 32867","Gg. Siliwangi No. 3
Kota Administrasi Jakarta Selatan, KB 32867",Jalan Kecil,Mess,Pemerintah,Kawasan industri,"-6.2614927, 106.8105998",Kontrakan ,Atque sunt sint doloribus.,House,"Gg. Siliwangi No. 3
Kota Administrasi Jakarta Selatan, KB 32867",,,South Jakarta,,Jakarta,1,3,2,1,0,1,115,3,2,3
2023-03-16 11:28:06.808207,192.168.12.191,5308162907580007,Hj. Uli Palastri,65,L,Cerai Mati,1,Environmental manager,Staff,74201,Aktivitas Fotografi,D4,0,915000000,1,0,0,3,1,0,Laptop,4,7,"Gg. Moch. Toha No. 448
Batam, Sumatera Barat 24941","Gg. Rajawali Barat No. 210
Tual, Kalimantan Selatan 49707",Jalan Besar,Rumah,Perorangan Pribadi,Kawasan wisata,"3.3285, 99.1625",Kost-kostan Jalan Veteran,Ullam eos nemo dolores.,Dormitory,"Rumah Sakit Umum Herna, Jalan Veteran, Tebing Tinggi, Kota Tebing Tinggi, Sumatera Utara, 20600, Indonesia",,Jalan Veteran,Tebing Tinggi,20600,Sumatera Utara,1,2,1,2,2,1,86,2,0,0
2023-03-16 11:28:08.927128,192.168.165.235,9106044103580005,Olivia Manullang,65,P,Cerai Hidup,4,Teaching laboratory technician,Supervisor,9900,Aktivitas Penunjang Pertambangan Dan Penggalian Lainnya,S3,1,709000000,3,3,0,3,1,1,PC,0,7,"Jalan Ahmad Dahlan No. 36
Sorong, SS 28660","Jl. Cikutra Timur No. 99
Tegal, MU 14494",Jalan Sedang,Kost-kostan,Lainnya,Kawasan industri,"3.31332, 117.59152",Apartemen ,Aliquam blanditiis itaque cupiditate sapiente porro dolore est.,Retirement home,"Karang Balik, Tarakan, Kalimantan Utara, 77112, Indonesia",,,Tarakan,77112,Kalimantan Utara,0,4,4,0,1,1,114,3,0,1
2023-03-16 11:28:10.513170,172.24.185.156,6206045102670007,Najam Natsir,56,P,Cerai Hidup,4,Charity officer,Manager,7102,Pertambangan Bijih Besi,S2,0,831000000,1,3,0,0,2,1,PC,0,4,"Jl. Astana Anyar No. 79
Banda Aceh, Kalimantan Utara 61412","Jl. Astana Anyar No. 79
Banda Aceh, Kalimantan Utara 61412",Jalan Sedang,Perum,Lainnya,Kawasan wisata,"5.5482904, 95.3237559",Rumah Susun ,Quae consequatur libero dolorem.,Townhouse,"Jl. Astana Anyar No. 79
Banda Aceh, Kalimantan Utara 61412",,,Banda Aceh,,Aceh,0,4,1,1,2,1,98,3,2,4
2023-03-16 11:28:11.061985,172.19.57.185,1108252210650003,Dipa Maheswara,58,L,Janda,2,Geochemist,Direktur,7295,Pertambangan Bijih Nikel,D4,4,801000000,2,0,4,3,2,0,Smartphone,1,2,"Gang Gedebage Selatan No. 2
Ternate, LA 04171","Gang Gedebage Selatan No. 2
Ternate, LA 04171",Jalan Kecil,Perum,Perorangan Orang Lain,Kawasan wisata,"-6.9436184, 107.6815776",Kontrakan ,Illo rerum modi iure repudiandae vel.,Condominium complex,"Gang Gedebage Selatan No. 2
Ternate, LA 04171",,,,,West Java,0,3,1,0,0,1,114,3,2,4
