datetime,ip_address,NIK,applicant_name,age,gender,marital_status,number_of_dependents,occupation,job_position,job_specific_code,job_specific,education_level,user_income,collateral_value_of_on_site_assets,average_loans_taken_in_the_same_location,last_credit_history,other_credit_history1,other_credit_history2,other_credit_history3,worst_credit_performance,hardware,operating_system_type,browser,home_address,domicile_address,road_type,building_type,building_owner,building_location,gmaps_coordinates,gmaps_location_name,gmpas_location_description,gmaps_category,gmaps_address,gmaps_neighborhood,gmaps_street,gmaps_city,gmaps_postal_code,gmaps_state,total_population,average_income_of_the_population_in_the_area,education_of_the_population_in_the_area,unemployment_rate_in_the_area,crime_rate_in_the_area,poverty_rate_in_the_area,length_of_stay_at_domicile_address,address_stability,domicile_address_and_location_suitability,credit_risk
2023-03-16 13:47:04.175860,172.18.8.127,1209225402610001,Maras Utama,62,P,Duda,2,Private employee,Staff,14200,Industri Pakaian Jadi Dan Barang Dari Kulit Berbulu,S2,3,690000000,1,2,4,1,4,2,Laptop,5,3,"Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018","Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018",Jalan Sedang,Kost-kostan,Pemerintah,Kawasan pegunungan,"-7.2574719, 112.7520883",Mess ,Ipsa quibusdam officia voluptates.,Residential neighbourhood,"Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018",,,Surabaya,,East Java,0,4,1,0,2,0,120,3,2,4
2023-03-16 13:47:04.727246,10.222.134.251,3213230806770003,"Darmaji Rahimah, M.Kom.",46,L,Cerai Mati,0,Farmer/gardener,Manager,24103,Industri Pipa Dan Sambungan Pipa Dari Baja Dan Besi,S2,2,893000000,0,0,1,2,0,4,Smartphone,0,6,"Gang Sukajadi No. 154
Depok, NT 14675","Gang Sukajadi No. 154
Depok, NT 14675",Jalan Kecil,Villa,Perorangan Orang Lain,Pinggiran kota,"-1.6, 103.61667",Rumah Susun Jalan Haji Abdulrahman Saleh,Error laboriosam nam quidem.,Residential neighbourhood,"Jalan Haji Abdulrahman Saleh, Sungai Asam, Jambi, Danau Sipin, Jambi, 36134, Indonesia",,Jalan Haji Abdulrahman Saleh,Jambi,36134,Jambi,2,2,2,2,0,0,82,2,0,4
2023-03-16 13:47:06.261241,192.168.31.174,3309105702620001,Praba Santoso,61,P,Kawin,5,Consultant,Manager,2305,Pemungutan Kokon/kepompong Ulat Sutera,SMA/SMK,0,384000000,1,2,2,4,1,4,PC,2,6,"Gang Ahmad Dahlan No. 338
Batam, DKI Jakarta 69812","Gang Moch. Toha No. 2
Metro, Maluku 03558",Jalan Sedang,Perum,Perorangan Orang Lain,Kawasan pegunungan,"-7.0981, 109.3243",Mess Jembatan Comal,Ad repudiandae illo ea occaecati commodi aliquid dolorem.,Gated community,"SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",,Jembatan Comal,,,Jawa Tengah,1,3,2,2,2,2,68,2,0,2
2023-03-16 13:47:07.677771,192.168.255.148,6503063102980002,"dr. Gamani Ardianto, S.H.",25,L,Belum Kawin,1,Tailor,Supervisor,32902,Industri Pita Mesin Tulis/gambar,S2,1,849000000,2,0,1,3,3,1,Smartphone,5,7,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871","Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",Jalan Besar,Rumah Susun,Pemerintah,Kawasan perumahan padat penduduk,"1.1300779, 104.0529207",Apartemen ,Rerum tempora perspiciatis vero.,Duplex,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",,,Batam,,Riau Islands,3,0,0,3,3,3,7,0,2,0
2023-03-16 13:47:08.011478,192.168.84.88,9117091911620001,H. Bakijan Sihotang,61,L,Janda,0,Village officials,Supervisor,51101,Angkutan Udara Berjadwal Dalam Negeri Umum Untuk Penumpang,S3,0,103000000,2,3,1,0,4,4,Laptop,5,6,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620","Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",Jalan Sedang,Perum,Lainnya,Pinggiran kota,"-5.3971396, 105.2667887",Kost-kostan ,Nobis sed sunt doloremque sint ullam illo.,Condominium complex,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",,,Bandar Lampung,,Lampung,4,1,0,4,4,3,8,0,2,0
2023-03-16 13:47:08.288108,10.63.212.239,3503014901650002,Syahrini Uwais,58,P,Belum Kawin,0,Event promoter,Manager,13941,Industri Tali,SMA/SMK,2,579000000,1,1,4,0,4,4,Laptop,1,0,"Jalan Suniaraja No. 83
Kota Administrasi Jakarta Selatan, Kalimantan Barat 32867","Jalan K.H. Wahid Hasyim No. 9
Singkawang, Sulawesi Tengah 08626",Jalan Sedang,Apartemen,Pemerintah,Kawasan perumahan padat penduduk,"0.51667, 101.44167",Kost-kostan Jalan Durian,Officiis veniam eos.,Retirement home,"Jalan Durian, RT. 01, Kelurahan Jadirejo, Kabupaten Kampar, Riau, 28121, Indonesia",,Jalan Durian,Kelurahan Jadirejo,28121,Riau,2,1,1,3,2,1,46,1,0,3
2023-03-16 13:47:10.285663,192.168.17.188,9210041304510005,Purwadi Lailasari,72,L,Duda,2,Artist,Staff,2306,Pemungutan Damar,S3,3,573000000,1,0,2,4,3,0,Smartphone,3,0,"Jalan Gegerkalong Hilir No. 9
Banjarmasin, Lampung 12107","Gang Antapani Lama No. 7
Denpasar, Jawa Barat 89314",Jalan Besar,Villa,Perorangan Orang Lain,Kawasan perumahan elite,"-3.5403, 118.9707",Apartemen ,Vitae cum ex ipsum fugiat.,Condominium complex,"Labuang, Majene, Sulawesi Barat, 91412, Indonesia",,,,91412,Sulawesi Barat,1,4,2,0,0,0,92,3,0,2
2023-03-16 13:47:12.189491,10.109.42.1,3212171710650008,"Zulfa Zulkarnain, S.I.Kom",58,L,Belum Kawin,5,Fashion stylist,Manager,24102,Industri Penggilingan Baja (steel Rolling),S2,3,228000000,0,3,1,1,1,0,Laptop,4,1,"Gang Cihampelas No. 33
Batam, SG 59514","Gang Cihampelas No. 33
Batam, SG 59514",Jalan Besar,Villa,Lainnya,Kawasan wisata,"1.1300779, 104.0529207",Rumah ,Natus aut aliquam blanditiis itaque.,Residential neighbourhood,"Gang Cihampelas No. 33
Batam, SG 59514",,,Batam,,Riau Islands,1,4,2,1,2,1,97,3,2,4
2023-03-16 13:47:12.950528,192.168.221.35,1401114905860007,Balamantri Samosir,37,P,Cerai Hidup,0,Researcher,Staff,26514,Industri Alat Uji Dalam Proses Industri,SMA/SMK,2,177000000,1,0,0,2,3,4,PC,0,3,"Jl. Rawamangun No. 153
Bandar Lampung, Kepulauan Riau 92093","Gg. Ciumbuleuit No. 127
Bekasi, KI 91331",Jalan Kecil,Rumah Susun,Pemerintah,Kawasan komersial,"-4.5585849, 105.4068079",Rumah Susun ,Eaque quisquam facilis nihil enim.,Gated community,"Jl. Rawamangun No. 153
Bandar Lampung, Kepulauan Riau 92093",,,,,Lampung,4,0,1,3,3,2,24,0,0,2
2023-03-16 13:47:13.582065,192.168.76.188,3502184405540009,"Rahmi Purnawati, S.Pd",69,P,Kawin,0,Honorary employee,Direktur,47874,Perdagangan Eceran Kaki Lima Dan Los Pasar Alat Olahraga Dan Alat Musik,SMA/SMK,4,939000000,2,4,1,0,2,0,Laptop,0,6,"Jalan Rawamangun No. 667
Prabumulih, Sulawesi Tenggara 76361","Jalan Rawamangun No. 667
Prabumulih, Sulawesi Tenggara 76361",Jalan Sedang,Perum,Perorangan Orang Lain,Kawasan komersial,"-2.6641473, 120.4674459",Kost-kostan ,Rerum laudantium deserunt repellendus delectus placeat corrupti odit.,Duplex,"Jalan Rawamangun No. 667
Prabumulih, Sulawesi Tenggara 76361",,,,,South Sulawesi,2,3,3,1,1,0,61,2,2,3
2023-03-16 13:47:13.932078,172.20.45.129,9116014509790008,Arsipatra Novitasari,44,P,Belum Kawin,5,Vice Regent/Vice Mayor,Direktur,16292,Industri Barang Anyaman Dari Tanaman Bukan Rotan Dan Bambu,S1,1,161000000,1,0,4,4,1,2,Smartphone,2,5,"Gang Lembong No. 547
Kota Administrasi Jakarta Pusat, Sulawesi Selatan 33045","Gang Lembong No. 547
Kota Administrasi Jakarta Pusat, Sulawesi Selatan 33045",Jalan Besar,Rumah Susun,Pemerintah,Kawasan perumahan elite,"-3.6687994, 119.9740534",Apartemen ,Aliquam unde voluptatibus aliquid.,Condominium complex,"Gang Lembong No. 547
Kota Administrasi Jakarta Pusat, Sulawesi Selatan 33045",,,,,South Sulawesi,0,3,3,1,1,1,112,3,2,3
2023-03-16 13:47:14.382269,10.63.202.181,3317110908850001,"Septi Hidayat, M.Pd",38,L,Cerai Mati,2,Vice Governor,Supervisor,15203,Industri Sepatu Teknik Lapangan/keperluan Industri,D3,2,518000000,2,2,3,2,1,4,PC,2,2,"Gang PHH. Mustofa No. 2
Kota Administrasi Jakarta Utara, JI 86695","Gang PHH. Mustofa No. 2
Kota Administrasi Jakarta Utara, JI 86695",Jalan Besar,Kost-kostan,Perusahaan,Pusat kota,"-6.133622700000001, 106.903643",Perum Gang H. Mustofa,Quod perferendis adipisci ad molestias neque sequi.,Residential neighbourhood,"Gang PHH. Mustofa No. 2
Kota Administrasi Jakarta Utara, JI 86695",,Gang H. Mustofa,,14230,Daerah Khusus Ibukota Jakarta,3,0,0,4,3,2,4,0,2,0
2023-03-16 13:47:14.690346,192.168.159.145,3504175912700008,Artanto Permata,53,P,Janda,0,Entrepreneur,Supervisor,1465,Pembibitan Dan Budidaya Kalkun,SMA/SMK,2,415000000,0,0,2,0,0,1,Smartphone,4,3,"Jalan Jakarta No. 0
Kupang, Kalimantan Timur 11501","Jalan S. Parman No. 734
Medan, Banten 51299",Jalan Besar,Rumah Susun,Perorangan Pribadi,Kawasan perumahan elite,"0.5386586, 116.419389",Kontrakan ,Dolor assumenda tenetur quasi.,Apartment complex,"Jalan Jakarta No. 0
Kupang, Kalimantan Timur 11501",,,,,East Kalimantan,0,3,4,0,1,0,105,3,0,4
2023-03-16 13:47:15.834671,10.121.79.2,5105010508620002,"Titi Farida, S.H.",61,L,Duda,2,Vice President,Manager,1712,Perburuan Dan Penangkapan Mamalia,S2,3,68000000,1,1,3,2,3,3,Smartphone,3,7,"Gang Tubagus Ismail No. 33
Pematangsiantar, PB 36805","Gang Tubagus Ismail No. 33
Pematangsiantar, PB 36805",Jalan Sedang,Perum,Perorangan Orang Lain,Kawasan pegunungan,"-1.26753, 116.82887",Villa ,Dolorem possimus iusto iure.,Duplex,"Telaga Sari, Balikpapan, Kalimantan Timur, 76112, Indonesia",,,Balikpapan,76112,Kalimantan Timur,3,0,0,4,4,2,9,0,0,2
2023-03-16 13:47:18.166125,10.119.196.134,9206180704830008,Hari Kusumo,40,L,Cerai Mati,2,Shoe repairman,Direktur,51104,Angkutan Udara Tidak Berjadwal Dalam Negeri Umum Untuk Penumpang,SMA/SMK,4,651000000,3,0,1,2,4,1,Smartphone,4,4,"Gg. Joyoboyo No. 3
Dumai, PA 57440","Jalan Suryakencana No. 1
Kendari, Kalimantan Barat 33481",Jalan Besar,Perum,Perorangan Orang Lain,Kawasan wisata,,Rumah Susun ,Soluta ipsam deserunt quaerat odio quisquam nulla.,,"Gg. Joyoboyo No. 3
Dumai, PA 57440",,,,,,4,0,0,3,4,2,3,0,0,0
2023-03-16 13:47:18.438458,172.17.45.47,3205406711720009,Langgeng Irawan,51,P,Cerai Mati,2,Fashion stylist,Staff,10423,Industri Minyak Goreng Kelapa,D3,4,165000000,1,4,4,4,3,0,Smartphone,0,3,"Jalan Jakarta No. 7
Salatiga, NT 99829","Jalan Tubagus Ismail No. 34
Bontang, SN 05141",Jalan Kecil,Perum,Perorangan Pribadi,Kawasan komersial,"-6.2087634, 106.845599",Kontrakan ,Commodi doloremque earum.,Dormitory,"Jalan Jakarta No. 7
Salatiga, NT 99829",,,Jakarta,,Jakarta,2,2,2,3,2,1,39,1,0,0
2023-03-16 13:47:19.530828,192.168.70.250,9106126507810003,"Puti Ramadan, S.E.I",42,P,Belum Kawin,1,Member of the Regency/City House of Representatives,Direktur,55192,Bumi Perkemahan,D4,0,524000000,2,0,2,0,0,0,Smartphone,1,4,"Jalan Ciumbuleuit No. 20
Cilegon, SU 40450","Gang Wonoayu No. 7
Denpasar, Kalimantan Utara 14952",Jalan Besar,Apartemen,Lainnya,Kawasan perumahan elite,"-6.8825718, 107.6046472",Perum Jalan Ciumbuleuit,Commodi blanditiis dolor non illum fugiat quos.,House,"Jalan Ciumbuleuit No. 20
Cilegon, SU 40450",,Jalan Ciumbuleuit,,40141,Jawa Barat,0,4,2,0,1,1,102,3,0,3
2023-03-16 13:47:20.752164,10.234.210.194,7404241712580008,Suci Hasanah,65,L,Duda,4,Fashion stylist,Supervisor,85420,Pendidikan Kebudayaan,D3,0,601000000,1,1,3,2,4,3,PC,1,3,"Gg. Dr. Djunjunan No. 368
Kupang, LA 58520","Gg. Erlangga No. 76
Tangerang, SR 90914",Jalan Kecil,Mess,Perorangan Orang Lain,Pinggiran kota,"-6.1701796, 106.6403236",Rumah ,Vero nulla harum animi ut nulla.,Dormitory,"Gg. Erlangga No. 76
Tangerang, SR 90914",,,Tangerang,,Banten,4,0,0,4,4,3,6,0,2,1
2023-03-16 13:47:21.286112,172.29.166.240,7402211012880008,Ganep Laksmiwati,35,L,Cerai Hidup,1,Teacher,Supervisor,10213,Industri Pembekuan Ikan,SMA/SMK,4,115000000,3,0,4,3,0,1,PC,3,5,"Jalan Cikutra Barat No. 76
Pangkalpinang, KU 48809","Jalan Cikutra Barat No. 76
Pangkalpinang, KU 48809",Jalan Kecil,Kontrakan,Pemerintah,Kawasan perumahan miskin,"-2.1316266, 106.1169299",Rumah Susun ,Eaque voluptatum maxime incidunt.,Townhouse,"Jalan Cikutra Barat No. 76
Pangkalpinang, KU 48809",,,Pangkalpinang,,Bangka Belitung Islands,3,2,2,3,3,2,51,1,2,3
2023-03-16 13:47:21.916157,192.168.155.63,7371065511720003,Faizah Manullang,51,P,Janda,5,Chef,Supervisor,1461,Budidaya Ayam Ras Pedaging,S3,0,661000000,3,0,4,4,2,3,Smartphone,4,6,"Gg. Raya Ujungberung No. 559
Kotamobagu, KB 88294","Jl. Sukabumi No. 0
Sorong, KU 60571",Jalan Sedang,Perum,Pemerintah,Kawasan wisata,"-0.8761629000000001, 131.255828",Mess ,Sunt cum aliquam earum delectus.,Retirement home,"Jl. Sukabumi No. 0
Sorong, KU 60571",,,Sorong,,West Papua,4,1,0,3,4,3,22,0,2,0
2023-03-16 13:47:22.319344,10.83.118.141,9126015611830008,"drg. Salwa Widodo, M.M.",40,P,Cerai Hidup,1,Event promoter,Staff,2139,Pengusahaan Hutan Bukan Kayu Lainnya,D4,1,71000000,2,2,1,1,1,3,Smartphone,3,2,"Jalan Cikutra Barat No. 79
Kota Administrasi Jakarta Pusat, Banten 90867","Gang Lembong No. 8
Pangkalpinang, Banten 66694",Jalan Sedang,Apartemen,Pemerintah,Kawasan komersial,"-1.26424, 104.09701",Rumah ,Dolor culpa sit unde eum.,Gated community,"Kelurahan Simpang, Tanjung Jabung Timur, Jambi, Indonesia",,,,,Jambi,4,1,1,4,3,2,9,0,0,1
2023-03-16 13:47:24.322488,10.39.235.6,9271074411700009,Mariadi Kusmawati,53,P,Cerai Hidup,4,Teacher,Manager,13912,Industri Kain Sulaman/bordir,SMA/SMK,2,670000000,3,0,1,1,1,0,Laptop,2,1,"Jalan H.J Maemunah No. 842
Magelang, KT 17434","Jalan H.J Maemunah No. 842
Magelang, KT 17434",Jalan Besar,Kost-kostan,Lainnya,Kawasan wisata,"-7.81667, 112.01667",Kontrakan ,Deleniti aperiam quod.,Apartment complex,"Kota, Kediri, Jawa Timur, Jawa, 64123, Indonesia",,,Kediri,64123,Jawa Timur,0,3,3,0,1,0,120,3,0,2
2023-03-16 13:47:26.141688,192.168.243.106,6301040705920005,Marsudi Usada,31,L,Janda,4,Fisherman/fishery laborer,Direktur,79120,Aktivitas Biro Perjalanan Wisata,S1,4,246000000,3,3,0,3,2,4,Smartphone,2,3,"Jalan Sadang Serang No. 025
Singkawang, Sumatera Barat 11108","Gang Pasteur No. 2
Pematangsiantar, SS 22672",Jalan Besar,Apartemen,Perorangan Orang Lain,Kawasan perumahan padat penduduk,"-6.8955402, 107.6230118",Kost-kostan ,Sint incidunt amet odio deserunt consectetur.,Apartment complex,"Jalan Sadang Serang No. 025
Singkawang, Sumatera Barat 11108",,,,,West Java,1,4,2,0,2,0,112,3,0,3
2023-03-16 13:47:27.315895,192.168.196.142,1202135407750003,"Jaeman Hutagalung, S.Pd",48,P,Cerai Mati,4,Traditional healer,Supervisor,69104,Aktivitas Notaris Dan Pejabat Pembuat Akta Tanah,D3,2,431000000,1,0,4,2,1,3,Laptop,1,3,"Jl. Dipenogoro No. 374
Banda Aceh, Kalimantan Tengah 38262","Jl. Dipenogoro No. 374
Banda Aceh, Kalimantan Tengah 38262",Jalan Besar,Apartemen,Lainnya,Pinggiran kota,"5.5482904, 95.3237559",Rumah ,Maxime voluptate quam dicta ad consequuntur.,Duplex,"Jl. Dipenogoro No. 374
Banda Aceh, Kalimantan Tengah 38262",,,Banda Aceh,,Aceh,3,0,1,3,4,2,27,0,2,2
2023-03-16 13:47:27.708990,172.19.121.100,3603130911640005,Ikhsan Handayani,59,L,Cerai Hidup,5,Member of the Supreme Audit Agency,Staff,15113,Industri Pencelupan Kulit Bulu,S1,2,242000000,3,4,3,0,0,0,PC,4,4,"Jl. Sukajadi No. 9
Bitung, JA 47741","Jl. Sukajadi No. 9
Bitung, JA 47741",Jalan Besar,Rumah Susun,Perusahaan,Kawasan wisata,"1.4403744, 125.1216524",Rumah ,Veniam fuga distinctio eligendi ut corporis.,House,"Jl. Sukajadi No. 9
Bitung, JA 47741",,,Bitung,,North Sulawesi,3,1,0,3,3,3,12,0,2,0
2023-03-16 13:47:28.103844,192.168.71.138,3323116905990004,T. Kariman Firgantoro,24,P,Duda,1,Daily laborer,Manager,10312,Industri Pelumatan Buah-buahan Dan Sayuran,D3,2,567000000,1,1,2,0,1,0,PC,1,7,"Gang Merdeka No. 538
Sukabumi, Riau 82227","Jl. Laswi No. 43
Banjarmasin, KT 98735",Jalan Sedang,Apartemen,Perusahaan,Kawasan wisata,"-3.3186067, 114.5943784",Rumah ,Rem facilis porro.,Apartment complex,"Jl. Laswi No. 43
Banjarmasin, KT 98735",,,Banjarmasin,,South Kalimantan,2,1,1,3,3,1,38,1,2,3
2023-03-16 13:47:28.486156,172.24.77.7,8206072701630005,Dadap Mangunsong,60,L,Cerai Mati,1,Notary,Supervisor,46321,Perdagangan Besar Daging Sapi Dan Daging Sapi Olahan,D3,2,919000000,2,2,0,1,3,4,Smartphone,1,1,"Gg. Otto Iskandardinata No. 4
Bandar Lampung, Kepulauan Bangka Belitung 93874","Jl. Waringin No. 82
Purwokerto, Jawa Barat 63329",Jalan Besar,Apartemen,Lainnya,Kawasan pertanian,"-2.7410513, 106.4405872",Apartemen ,Fuga autem optio aliquid fuga molestias earum eaque.,Apartment complex,"Gg. Otto Iskandardinata No. 4
Bandar Lampung, Kepulauan Bangka Belitung 93874",,,,,Bangka Belitung Islands,2,3,1,1,3,1,72,2,0,0
