datetime,ip_address,NIK,applicant_name,age,gender,marital_status,number_of_dependents,occupation,job_position,job_specific_code,job_specific,education_level,user_income,collateral_value_of_on_site_assets,average_loans_taken_in_the_same_location,last_credit_history,other_credit_history1,other_credit_history2,other_credit_history3,worst_credit_performance,hardware,operating_system_type,browser,home_address,domicile_address,road_type,building_type,building_owner,building_location,gmaps_coordinates,gmaps_location_name,gmpas_location_description,gmaps_category,gmaps_address,gmaps_neighborhood,gmaps_street,gmaps_city,gmaps_postal_code,gmaps_state,total_population,average_income_of_the_population_in_the_area,education_of_the_population_in_the_area,unemployment_rate_in_the_area,crime_rate_in_the_area,poverty_rate_in_the_area,length_of_stay_at_domicile_address,address_stability,domicile_address_and_location_suitability,credit_risk
2023-03-16 14:07:52.202000,172.18.8.127,1209225402610001,Maras Utama,62,P,Duda,2,Private employee,Staff,14200,Industri Pakaian Jadi Dan Barang Dari Kulit Berbulu,S2,3,690000000,1,2,4,1,4,2,Laptop,5,3,"Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018","Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018",Jalan Sedang,Kost-kostan,Pemerintah,Kawasan pegunungan,"-7.2574719, 112.7520883",Mess ,Ipsa quibusdam officia voluptates.,Residential neighbourhood,"Gg. PHH. Mustofa No. 93
Surabaya, Sulawesi Selatan 27018",,,Surabaya,,East Java,0,4,1,0,2,0,120,3,2,4
2023-03-16 14:07:52.656577,10.222.134.251,3213230806770003,"Darmaji Rahimah, M.Kom.",46,L,Cerai Mati,0,Farmer/gardener,Manager,24103,Industri Pipa Dan Sambungan Pipa Dari Baja Dan Besi,S2,2,893000000,0,0,1,2,0,4,Smartphone,0,6,"Gang Sukajadi No. 154
Depok, NT 14675","Gang Sukajadi No. 154
Depok, NT 14675",Jalan Kecil,Villa,Perorangan Orang Lain,Pinggiran kota,"-1.6, 103.61667",Rumah Susun Jalan Haji Abdulrahman Saleh,Error laboriosam nam quidem.,Residential neighbourhood,"Jalan Haji Abdulrahman Saleh, Sungai Asam, Jambi, Danau Sipin, Jambi, 36134, Indonesia",,Jalan Haji Abdulrahman Saleh,Jambi,36134,Jambi,2,2,2,2,0,0,82,2,0,3
2023-03-16 14:07:54.269470,192.168.31.174,5303034404620001,Praba Santoso,61,P,Duda,5,Consultant,Manager,2305,Pemungutan Kokon/kepompong Ulat Sutera,SMA/SMK,0,384000000,1,2,2,4,1,4,PC,2,6,"Gang Ahmad Dahlan No. 338
Batam, DKI Jakarta 69812","Gang Moch. Toha No. 2
Metro, Maluku 03558",Jalan Sedang,Perum,Perorangan Orang Lain,Kawasan pegunungan,"-7.0981, 109.3243",Mess Jembatan Comal,Ad repudiandae illo ea occaecati commodi aliquid dolorem.,Gated community,"SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",,Jembatan Comal,,,Jawa Tengah,1,3,2,2,2,2,68,2,0,2
2023-03-16 14:07:55.534179,192.168.255.148,6503063102980002,"dr. Gamani Ardianto, S.H.",25,L,Belum Kawin,1,Tailor,Supervisor,32902,Industri Pita Mesin Tulis/gambar,S2,1,849000000,2,0,1,3,3,1,Smartphone,5,7,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871","Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",Jalan Besar,Rumah Susun,Pemerintah,Kawasan perumahan padat penduduk,"1.1300779, 104.0529207",Apartemen ,Rerum tempora perspiciatis vero.,Duplex,"Jl. Dr. Djunjunan No. 143
Batam, Jawa Timur 72871",,,Batam,,Riau Islands,3,0,0,3,3,3,7,0,2,0
2023-03-16 14:07:55.846811,192.168.84.88,9117091911620001,H. Bakijan Sihotang,61,L,Janda,0,Village officials,Supervisor,51101,Angkutan Udara Berjadwal Dalam Negeri Umum Untuk Penumpang,S3,0,103000000,2,3,1,0,4,4,Laptop,5,6,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620","Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",Jalan Sedang,Perum,Lainnya,Pinggiran kota,"-5.3971396, 105.2667887",Kost-kostan ,Nobis sed sunt doloremque sint ullam illo.,Condominium complex,"Gg. Antapani Lama No. 856
Bandar Lampung, Lampung 15620",,,Bandar Lampung,,Lampung,4,1,0,4,4,3,8,0,2,0
2023-03-16 14:07:56.261395,10.63.212.239,3503014901650002,Syahrini Uwais,58,P,Belum Kawin,0,Event promoter,Manager,13941,Industri Tali,SMA/SMK,2,579000000,1,1,4,0,4,4,Laptop,1,0,"Jalan Suniaraja No. 83
Kota Administrasi Jakarta Selatan, Kalimantan Barat 32867","Jalan K.H. Wahid Hasyim No. 9
Singkawang, Sulawesi Tengah 08626",Jalan Sedang,Apartemen,Pemerintah,Kawasan perumahan padat penduduk,"0.51667, 101.44167",Kost-kostan Jalan Durian,Officiis veniam eos.,Retirement home,"Jalan Durian, RT. 01, Kelurahan Jadirejo, Kabupaten Kampar, Riau, 28121, Indonesia",,Jalan Durian,Kelurahan Jadirejo,28121,Riau,2,1,1,3,2,1,46,1,0,2
2023-03-16 14:07:57.578656,192.168.17.188,1408016907650005,Purwadi Lailasari,58,P,Belum Kawin,5,Fashion designer,Manager,49221,Angkutan Bus Pariwisata,S3,0,993000000,0,3,1,0,2,4,Laptop,0,7,"Jalan Gegerkalong Hilir No. 9
Banjarmasin, Lampung 12107","Jalan Gegerkalong Hilir No. 9
Banjarmasin, Lampung 12107",Jalan Kecil,Rumah Susun,Perusahaan,Kawasan industri,"-3.3186067, 114.5943784",Perum ,Blanditiis nobis ab iste a.,Gated community,"Jalan Gegerkalong Hilir No. 9
Banjarmasin, Lampung 12107",,,Banjarmasin,,South Kalimantan,3,1,1,3,2,1,50,1,2,1
2023-03-16 14:07:57.924520,10.122.222.189,1501161009860004,Surya Yulianti,37,L,Kawin,0,Village officials,Manager,32501,"Industri Furnitur Untuk Operasi, Perawatan Kedokteran Dan Kedokteran Gigi",D4,3,802000000,0,3,1,1,1,0,Laptop,4,1,"Gg. Joyoboyo No. 26
Pontianak, SN 65885","Gg. Joyoboyo No. 26
Pontianak, SN 65885",Jalan Besar,Villa,Lainnya,Kawasan wisata,"-0.0263303, 109.3425039",Rumah ,Molestiae id incidunt voluptatibus.,Residential neighbourhood,"Gg. Joyoboyo No. 26
Pontianak, SN 65885",,,Pontianak,,West Kalimantan,1,4,2,1,2,1,97,3,2,4
2023-03-16 14:07:58.232345,10.237.176.115,1401114905860005,Ir. Puji Haryanto,37,P,Cerai Hidup,0,Researcher,Staff,26514,Industri Alat Uji Dalam Proses Industri,SMA/SMK,2,462000000,1,0,0,2,3,4,PC,0,3,"Gang Ahmad Yani No. 19
Kota Administrasi Jakarta Utara, JA 28763","Jalan Pasteur No. 271
Manado, Kalimantan Tengah 04792",Jalan Kecil,Rumah Susun,Pemerintah,Kawasan komersial,"-6.155405699999999, 106.8926634",Rumah Susun ,Perferendis dolores sit.,Gated community,"Gang Ahmad Yani No. 19
Kota Administrasi Jakarta Utara, JA 28763",,,North Jakarta,,Jakarta,4,0,1,3,3,2,24,0,0,1
2023-03-16 14:07:58.974349,10.77.21.183,1308155002590007,Narji Mansur,64,P,Belum Kawin,5,Honorary employee,Direktur,47874,Perdagangan Eceran Kaki Lima Dan Los Pasar Alat Olahraga Dan Alat Musik,SMA/SMK,4,851000000,2,4,1,0,2,0,Laptop,0,6,"Gg. Joyoboyo No. 331
Kota Administrasi Jakarta Selatan, PA 96412","Gg. Joyoboyo No. 331
Kota Administrasi Jakarta Selatan, PA 96412",Jalan Sedang,Perum,Perorangan Orang Lain,Kawasan komersial,"-6.2614927, 106.8105998",Kost-kostan ,Qui tenetur necessitatibus quaerat.,Duplex,"Gg. Joyoboyo No. 331
Kota Administrasi Jakarta Selatan, PA 96412",,,South Jakarta,,Jakarta,2,3,3,1,1,0,61,2,2,3
